;values
222;in this house we love and appreciate akane tendo even though ranma's with ukyo
223;slowburn
224;ongoing
225;Broken Bones
226;Well... she tries to
227;Evolving Identity
228;NO ONE KNOWS
229;Akane gets tied up so she will listen
230;internalized transphobia cw
231;But pretty minor nothing shown
232;Nonbinary Kurenai Tsubasa
233;Martial Arts Rythmic Gymnastics
234;sissy
235;BWC
236;I'm gonna fly by the seat of my pants
237;Potential OOC warning?
238;talk of trauma
239;Ancient History
240;post-manga
241;Loyalty
242;Punishment
243;Non-Consensual
244;But also manages to find her way out of the closet
245;In which Hibiki gets so lost she ends up outside her egg
246;big spider
247;Ranma is Fon's replacement
248;Scared Kunou Kodachi
249;Letters
250;healthy fighting
251;LGBTQ Character
252;Implied Consent
253;Use Your Words
254;Bedtime Stories
255;gender questioning ranma
256;Kitchen Sex
257;Ranma Saotome is a little shit
258;Ryoga Hibiki is not a bitch
259;Discussion of Abortion
260;Coma
261;Enemies to Lovers
262;Psychic Abilities
263;Crimes & Criminals
264;The Tendo Training Hall
265;Implied/Referenced Transphobia
266;Mermaids
267;Discussions on consent
268;Mildly Gay
269;Gender is a game and i'm winning
270;Martial Arts and Crafts
271;little to no Happosai bc seriously eff that guy
272;Yandere Saotome Ranma
273;Adopted Children
274;with some modifications
275;but Ranma projects
276;Fighting in an Alley
277;Internalized transphobia(?)
278;Ranma runs away
279;Burping
280;Awkward Crush
281;cursing
282;slight sexual situations
283;Implied Bigender Character
284;ranchan
285;Work In Progress
286;Jusenkyou
287;Stealth Crossover
288;Dark fic
289;Childhood Nightmare
290;Were-Creatures
291;Hi-jinks
292;General
293;OC Profile
294;Ranma ½ - Freeform
295;First Love
296;Ramen
297;First story
298;Alternate Universe - Politics
299;Alpha Stigma
300;Prequel
301;Tentacle Sex
302;Animal Traits
303;glory wall
304;Werewolves
305;Alternate Universe - No Powers
306;Female Sawada Tsunayoshi
307;Adventure
308;Different Curse
309;Time Travel
310;Implied/Referenced Rape/Non-con
311;Anything goes - Freeform
312;Fanservice
313;Mpreg
314;I'm Bad At Tagging
315;Barely any Ranma characters appearing
316;Cassandra Cain is Batgirl
317;Good Sibling Cassandra Cain
318;Texting
319;jasmine tea
320;Science Fiction
321;referencia a películas
322;Sickfic
323;Eating
324;and yes the pun in the title is very much intended
325;Suicide Attempt
326;Harry Potter - Freeform
327;tags will be added as the story goes on
328;Guilty Bakugou Katsuki
329;One Shot
330;Battle of Hogwarts
331;Harem Later On
332;Older Characters
333;Self-Hatred
334;Alternate Universe - Future
335;Mutants
336;The Author Regrets Nothing
337;Tokyo college au
338;Light BDSM
339;Xenophobia
340;Psychological Torture
341;Ghosts
342;Gangbang
343;Body Horror
344;shadow self
345;Master of Death Harry Potter
346;Transphobia mention
347;Community: makinghugospin
348;Perdida de memoria
349;Stalker
350;identity crisis
351;Bingo
352;Married Characters
353;Teenagers
354;Platonic Relationships
355;Autistic Woman
356;False Accusations
357;Arthurian
358;4th wall breaking liek whoah
359;Child Abuse
360;Eventual Romance
361;Happy Ending
362;Dolls
363;Drabble Sequence
364;Alternate Universe - Gods & Goddesses
365;Snippets
366;Taking a swim in some cursed springs
367;duality?
368;kaiju attacking the city
369;Memory Loss
370;Iori and Soma are cousin
371;Deutsch | German
372;Genderfluid Saotome Ranma
373;Sawada Nana is Saotome Ranma
374;Parent/Child Incest
375;Except Izuku
376;The Holy Land Mariejois
377;Fanart
378;Anal Fingering
379;Object Insertion
380;prompts
381;From the people who aren’t gay and are just kind of assholes
382;Alternate Jusenkyo Curses
383;Magical Girls
384;Norse Mythology - Freeform
385;Ginzuishou
386;Otaku Senshi
387;Diary/Journal
388;Alternate Universe - Parents
389;Running Away
390;#BlameTheodore
391;Naru Osaka is not a Senshi though
392;a trickster a princess a gender-flipping martial artist and a reploid walk into a bar
393;expect infrequent updates though…
394;played for laughs
395;Kinda op Ranma
396;Powerful!Ranma
397;English
398;First Kiss
399;Meet-Cute
400;Awkward Kissing
401;Rough Kissing
402;there's a little homophobic rhetoric if that bothers anyone
403;College AU
404;Kidnapping
405;Prophecy
406;Community: wip_amnesty
407;Canon Het Relationship
408;Frenemies
409;Photography
410;Family Drama
411;Futa
412;Relationship Problems
413;Loss of Identity
414;its not explicitly mentioned but its there
415;Drunk Sex
416;Kasumi is a precious cinnamon bun
417;Emotional/Psychological Abuse
418;Lust
419;getting drunk
420;tricking
421;gender switch
422;Multiple Orgasms
423;Bittersweet Ending
424;Wall Sex
425;belatedly realizing ryoga has a U in it
426;moresome
427;OMG Ancient-fic
428;i swear all of these make sense in context
429;also I literally FORGOT Gosunkugi's name while listing the characters
430;Not Exactly a Body Swap
431;Sexual Humor
432;Crush to love
433;Do Not Take Seriously
434;Heartbreaking
435;Heartwrenching
436;references to mangas
437;fears of transphobia
438;Curse Breaking
439;Loneliness
440;Kasumi is a mama bear
441;Slighty Succubus-ed Ranma
442;Mind Games
443;Original Character Death(s)
444;Rivalry
445;Immortals
446;Pain
447;references
448;mousse is a member of Team Hot Mess
449;Pheromones
450;Vignette
451;People with disabilities being awesome
452;Body Modification
453;Road Trip
454;Another Fiancee
455;love and stuff
456;they’re a pair of doofuses who don’t communicate
457;Ranma shares body with spirit of Saiyan woman who drowned in Jusenkyo pool he fell into
458;Sparring
459;Turning Thirty
460;Soun and Genma are to blame for everything
461;Akane barely features
462;Meddling Happosai
463;Nabiki is a flirt
464;Non-Sexual Kink
465;Cat's perspective
466;Neko-ken
467;Magic Swords
468;liberal use of canon
469;Literal Sleeping Together
470;self - Freeform
471;Gentle Sex
472;Making Love
473;Passion
474;Best Friends
475;Normal Life
476;Bromance
477;Bubble Bath
478;ymmv
479;cervix
480;cervical massage
481;cervical rubbing
482;Light-Hearted
483;Neurodiversity
484;no one is a girl this time
485;Twins
486;cat shenanigans
487;hazmat
488;These Vamps do NOT sparkle in the sun!
489;Lost Love
490;Wilderness
491;Maps
492;ressurection
493;Non-Traditional Alpha/Beta/Omega Dynamics
494;Watersports
495;Trans Female Konatsu
496;Intimacy
497;Sarashi
498;Non-Binary Ranma Saotome
499;fighting over food
500;bathroom policing is stupid
501;Soulmates
502;Aged-Up Characters
503;Pride and Prejudice References
504;Gold Digger cameo
505;Sleepovers
506;Microfic
507;porn shoot
508;lots of flashbacks
509;Does not contain Shampoo-bashing
510;full body cat tongue
511;Foursome - F/F/F/M (in Pokegirls omakes)
512;Ranma becomes a Demon Lord
513;confused bi Akane
514;Bottom Mousse
515;like Conan canonically does those so I figure I’m good to do my own
516;kid from the future
517;Orcs
518;or two
519;but also a disaster at romance
520;Ranma has some issues to work out
521;snacks
522;a rare appearance from Aoko’s mother
523;Blood Loss
524;Reverse role AU
525;Consensual Kink
526;slaps fic
527;Camping
528;catastrophizing
529;Ryouga is a boob guy
530;Anime Levels of Shenannigans
531;probably going to be more risqué than most stuff I write
532;the tags spoil things
533;deadnaming cw
534;Ryouga needs a friend
535;Sassy Akane Tendo
536;all characters are adults
537;Sleep Sex
538;Lots of kissing
539;I'll be honest I started writing this
540;Repressed Memories
541;A new cure for the curse
542;school fic
543;Ranma you actually need to pay attention in classes!
544;Spirit World
545;McLintock! references
546;trans female tatewaki kuno
547;Public Humiliation
548;living Mrs Tendo
549;Nonbinary Saotome Ranma
550;Why Did I Write This?
551;older versions
552;Kitchen Nightmare
553;Summer Romance
554;New Year's Fluff
555;Changing Tenses
556;Life kinda sucks right now I'm leaning into the fluff thing hard
557;Too Fluffy For Smut
558;craft
559;Minor Saotome Ranma/Tendou Akane
560;Quickies
561;Be Kind (Cries Softly)
562;If you put it somewhere else makes sure to wash up after. Not kidding.
563;GojoHime is canon compliant and I will fight anyone who disagrees
564;Made a ship out of nothing but a few popsicle sticks and a thrown green tea
565;Forced Pregnancy
566;Sister-Sister Relationship
567;Unrequited Crush
568;Angels
569;Goddess
570;girl idk
571;Two Characters having the Same Cursed Form
572;Tags Contain Spoilers
573;Good
574;Akane bashing
575;Tags will be updated as I get an idea of what I'm actually doing with this story
576;but it does not work on Ranma
577;Retelling
578;Ranma and Akane are getting their shit together in the background
579;wendy has little Ran as bro/sis
580;references to other fandoms - Freeform
581;Subtle and not-so-subtle references to my favorite Ranma fics
582;Existential Crisis
583;deadnaming
584;MPD
585;Confrontation
586;"based on ""ranma and the evil within"""
587;Rivals
588;aka bad parents
589;spirit realm
590;Doggy Style
591;Temporary Ranma-chan
592;So basically typical Ranma ½ antics
593;Case Fic
594;POV Multiple
595;Ragnarok
596;five things fic
597;Ranma's life kind of sucks
598;cuckold
599;butchering of manga & anime timelines
600;Fight Club - Freeform
601;Imagination
602;#romance
603;gender euphoria
604;Nendo-kata
605;Rakugo
606;Minor Characters added here
607;Cameos from Gravity Falls characters
608;Gay and Gay and Gay
609;Vines
610;playing loose with canon timeline
611;Crossover
612;Has no relation to and will never feature Homestuck
613;Abandoned Work - Unfinished and Discontinued
614;Jusenkyo (Ranma 1/2)
615;AR
616;Drama
617;Romance
618;Fluff and Angst
619;Reader-Insert
620;Family
621;Originally Posted on FanFiction.Net
622;Kunou Kodachi Redemption Arc
623;Yaoi
624;Fictober 2018
625;Original Character(s)
626;romantic
627;Ryoga enrabietado
628;unnecessary sufferings of Zuko
629;a loooooooot of fluff and less than a pinch of angst
630;Weddings
631;Futanari
632;Earthrealm (Mortal Kombat)
633;Gender or Sex Swap
634;Gender Identity
635;Ranma Can Throw Down With A Diamond And Likely Will
636;Alternate Universe - Wings
637;Blindfolds
638;blowjob
639;Trans Character
640;Histoire Libre
641;Character Death
642;Action
643;And Much More - Freeform
644;Read the warnings
645;Each Scene With Individual Warnings
646;Attempted Seduction
647;Major Character Injury
648;Future
649;Saiyan Culture
650;Trust
651;Brother-Sister Relationships
652;Telekinesis
653;Autistic
654;Feminization
655;Corruption
656;POV First Person
657;Rewrite
658;Canon Trans Character
659;Alternate Universe - Canon
660;Transformation
661;Jusendo
662;Alpha/Omega
663;Español
664;Hechizo de amor
665;falsa prometida
666;Baking
667;Demigod on Both Sides
668;Locked Jusenkyo Curses (Ranma 1/2)
669;Mermaid flesh
670;porque sus ex prometidas pueden tirar a matar
671;y no gracias
672;Puede que si Ranma no se hubiese casado con Iemitsu
673;Weird quirks
674;Shooting Canon out of a Cannon
675;mentions of Off-screen Character Death
676;feel free to adopt an idea
677;really old story
678;Alternate Universe - Power Rangers
679;Voyeurism
680;Strap-Ons
681;Woman on Top
682;Sentence of Porn
683;Gender Dysphoria
684;Everyone Is Gay
685;BDSM
686;Challenge Response
687;and sexy
688;Agender Character
689;Genderfluid Tsukino Usagi
690;Character Bashing
691;transfer student
692;Genderfluid Nick Hoult
693;trapalhas
694;Abandono infantil implícito
695;otherwise it will take forever
696;there will be annotations
697;The Force
698;Cooking
699;Tragedy/Comedy
700;Eventual Threesome
701;Rating mught go up eventually
702;I enjoy some of those but RPGs aren't the only kind of game out there
703;Alpha Ukyo
704;Beta Akane
705;Minor Violence
706;Boarding School
707;messy relationships
708;Wedding Night
709;Genderfluid
710;Useless Lesbians
711;Gloryhole
712;Beach Holidays
713;Angry Ranting
714;Handcuffs
715;Bathroom Sex
716;Cowgirl Position
717;Questioning
718;Porn
719;Blood
720;Cameos from Stop! Hibari-kun!!
721;Trans Female Genma Saotome
722;Alternate Universe - Coffee Shops & Cafés
723;Like really slow
724;forcing himself to like others
725;Oral Fixation
726;Comfort/Angst
727;Feels
728;Permanent Curse Effects
729;Arguing
730;Mythology References
731;Shout-outs
732;Multiverse
733;Alt-forms
734;This is a Real Story with Loads of SMUT
735;1980s Power Pop and Pop Punk
736;Double Drabble
737;Magical Boys
738;Bondage Mummy vs. Tentacle Minotaur
739;Happousai Is Blasting Off Again
740;Alternate Universe - Crack
741;Akane getting to kick some ass for a change
742;Funny
743;Plot Twists
744;Butt Plugs
745;Brain Break
746;Male-Female Friendship
747;Teenage Drama
748;Reindeer
749;female!ranma and ryoga
750;Accidental Lesbianism
751;Animal Metaphors
752;Naked Cuddling
753;20 year old fics
754;Excessive Drinking
755;so 80s
756;do not copy to another site
757;annoying songs
758;Gender Fluid Character
759;guys the lesbianism of ranma/akane......
760;Interruptions Abound
761;Cock Tail
762;Alternate Dimension
763;significant alcohol consumption
764;Early Work
765;Sci-Fi
766;Shampoo just wants to sleep
767;not vegan friendly recipes...
768;Weirdness
769;Enemies to Friends to Lovers
770;Male Homosexuality
771;just fluff
772;probable happy ending for everyone
773;Amazon!Ranma
774;vampire
775;Warm and Fuzzy Feelings
776;Survival
777;lost in the wilderness
778;Self Sacrifice
779;Leopard
780;Neck Kissing
781;Rating May Change
782;Guilty Pleasures
783;Mating Cycles/In Heat
784;Timeline What Timeline
785;Joyful
786;Oh God Yes
787;Belly Kissing
788;Sparkles
789;ultrasound
790;pain relief
791;New Year's Eve
792;Acts of Kindness
793;What Have I Done
794;Crushes
795;Non-binary character
796;more tags to come when there are more people in the story
797;i rewrote cause i didn't like the old one and wanted to change the second chapter so here ya go
798;Alternative Perspective
799;Physical Abuse
800;Straight Sex
801;Trans Girl Hibiki Ryouga
802;Biohazard
803;OC
804;selflessness
805;Sick Character
806;Danger
807;Size Difference
808;ranma just wants love
809;Dry Humping
810;Rarepair
811;Goddesses
812;lots of ships hinted
813;Transitioning
814;very little angst
815;and closets!
816;I just wanted to see how much crazy manga-antics I could fit into a one-shot
817;Nudity
818;ryoga - Freeform
819;Physical Restraint
820;Pinning Techniques
821;Body Image
822;i have charts
823;Vampire Sex
824;Half-Vampires
825;Redemption
826;mental issues
827;They can't keep their hands off each other XD
828;Large Penis
829;Public Masturbation
830;RARA Squad
831;Polyamory (in Pokegirls omakes)
832;little bit of smuttiness at the end
833;Family Dynamics
834;May/December Romance
835;Netorare
836;Coercion
837;Armpit Kink
838;I’m still not sure about what secondary ships I’m going with...
839;well this is going to be stupid
840;Dungeons and Dragons
841;Forced Crossdressing
842;Autistic Tendou Kasumi
843;Alternate Universe - Domestic
844;just a fun passion project directly inspired by lineith from tumblr
845;minor crossover elements: Stop!! Hibari-Kun!
846;light homophobic teasing
847;small tent
848;Domesticity
849;but those are the main ones - Freeform
850;but some family bonding too
851;real talk
852;Ranma has had enough
853;He's totally smitten
854;at least to Kodachi
855;Cis people experiencing gender dysphoria
856;No beta we die like Mama Tendo
857;because I wondered how the story would go if I put 1 sane person in
858;Probably why he's a panda but he's a disgrace to even lump him with them
859;period typical psychology language
860;Supportive Parent
861;Nodoka's family
862;Unresolved Romantic Tension
863;Genma faces consequences
864;Mercenary Saotome Ranma
865;Alcohol
866;Communication
867;Aki Tendo
868;Queer Character
869;It's hard to make this thing queer friendly I mean have you seen the original?
870;Arcobaleno Curse (Katekyou Hitman Reborn!)
871;Japanese
872;Shopping
873;Dialogue Heavy
874;Dream Sex
875;Pirates
876;Beta Wanted
877;Y'all are just heathens who like instant gratification
878;Ukyo Kyonji will mess your shit up
879;Recovery
880;Ranma is in their mid 20s
881;Genma dies before everything starts
882;Trippy Dream Bullshit
883;Wishes
884;Fountain of Youth
885;Naked Ranma
886;Ryoga has done a very bad thing
887;Catboys & Catgirls
888;Paralysis
889;Goddess!Ranma
890;Jorōgumo
891;Street Racing
892;no betas we die like mama tendo
893;Saotome Ranma & the Tendou Sisters solidarity
894;trans Kuonji Ukyou
895;emotional maybe
896;parent
897;Cannon-Typical amounts of property damage
898;Realising you're a girl does not solve all of your problems sadly
899;Shampoo copies Aeka (using the Japanese spelling here)
900;Secrets
901;The product of
902;whoops who dropped all these feelings in chapter five
903;They/Them Pronouns for Ranma
904;real life politics
905;Kasumi being a good sister
906;these characters are my friends and I want them to be happy
907;Belly Kink
908;Things are about to get complicated
909;I thought it was hilarious
910;The Ranma/Shampoo is only onesided
911;Triggers
912;Love Triangle
913;Neko-Shampoo
914;Vampire!Ranma
915;some weird pee activity idek
916;Merged Continuities
917;Death Fic
918;modern day AU
919;comedy & angst
920;improvising
921;Klein is a Bro
922;Queer Characters
923;Alternate Universe - Porn
924;Chastity Device
925;Multiple Partners
926;Mutant Ranma
927;Borderline crack
928;Harry and Dudley Reconcile
929;Self-Indulgent
930;Discussions of Suicide
931;In-story Timeskip
932;Sex Machine
933;Ice Play
934;Genma doesn't survive a whole chapter
935;Species Swap
936;Multiple Crossovers
937;Alternate Universe - Magic
938;Alternate Universe - Science Fiction
939;I Wrote This Instead of Helping Renovate My House
940;Christmas Fluff
941;Prejudice
942;Amnesia
943;wtf?
944;Double Pregnancy
945;Transphobia
946;Developing Relationship
947;Science Fiction & Fantasy
948;Canon Disabled Character
949;Bruce adopted Cassandra
950;Editor is unfamiliar with the other half
951;Author is not that familiar with half the source material
952;more for Seven Realms than Ranma
953;Comedy
954;Hypnotism
955;secret kiss
956;PWP
957;Genderbending
958;Yuri
959;universidad
960;Mother-Daughter Relationship
961;I have a cosmology
962;Suicidal Thoughts
963;ranma - Freeform
964;ranma saotome - Freeform
965;Ranma and fem!Ranma are twin siblings in this au
966;зуко копается в себе
967;Being Lost
968;Lemon
969;Gods
970;Titans
971;Old Fic
972;Akane is Zoro's Mum
973;getting bent
974;Trans Saotome Ranma
975;Knifeplay
976;Body Paint
977;Girl Penis
978;Alternate Universe - Persona Fusion
979;Incest
980;China
981;Infidelity
982;Gamer Everybody
983;Immortal Saotome Ranma
984;Nuevos inicios
985;Implied/Referenced Child Abuse
986;Podfic Welcome
987;Quirk Kink (My Hero Academia)
988;Urashima is an Idiot
989;Autism
990;Public Sex
991;Sexual Tension
992;Old Age
993;Kansas
994;Second Curse
995;Amor - Freeform
996;UPG plus half-arsed research equals headcanons
997;if you're confused don't worry so are they
998;OTPisms Prompt Fill
999;Spirit Apparition
1000;Post-Third Impact
1001;mpreg kinda?
1002;not for all ages
1003;okay... might be if you ask
1004;and Nomu
1005;Hot Chocolate
1006;Dildos
1007;Kurozuishou
1008;And other anime characters
1009;Ranma as a Sailor Senshi
1010;Ficlet Collection
1011;It's a Giri AU so obviously Genma is dead at the beginning
1012;space
1013;Humor from depressing situations because I'm a Jewish bitch
1014;Original Animal Advisor
1015;Gamer Tendou Akane
1016;trans girl character
1017;Alpha Kuno
1018;Aftercare
1019;Mutual Masturbation
1020;Porn with Feelings
1021;Declarations Of Love
1022;Shameless Smut
1023;dojo sex
1024;Rare Pairings
1025;Stupid premise taken and run with
1026;repost
1027;Attempted Rape/Non-Con
1028;True Love
1029;Rats
1030;Martial Arts Geometry
1031;Rape Recovery
1032;Cyberpunk
1033;Simulation Hypothesis
1034;Submissive Ranma
1035;Sibling Rivalry
1036;Cute cat
1037;Slavery
1038;Femslash
1039;Non-Consensual Drug Use
1040;post story
1041;Ukyo - Freeform
1042;Strap-On
1043;Ranma Femslash Week
1044;Mild Smut
1045;AU of another AU
1046;Licking
1047;Stripping
1048;Armpit fetish
1049;Childhood Trauma
1050;Child Neglect
1051;Hurt
1052;Kuno has a heart
1053;idk even where this takes place they just are
1054;please read and review I'm lonely
1055;Alternate Universe - Twins
1056;Jumpchain - Freeform
1057;Rating: NSFW/Mature/NC17
1058;Shopping Malls
1059;may rot teeth
1060;or in this case doesn't change
1061;Flushed Romance | Matesprits
1062;A little angst
1063;trans lesbians
1064;Español | Spanish
1065;nudging canon just a little
1066;Pigs
1067;Christmas Eve
1068;Nerima is flooded
1069;Mystery Character(s)
1070;Homosexuality
1071;Backstory
1072;Cliffhangers
1073;old fic is old
1074;Alternate Universe - Romantic Comedy
1075;Bad French
1076;this touches on sex-pollen / heat / dubcon things but there's not gonna be any sex
1077;neko ken
1078;Non-Consensual Groping
1079;Dim Sum
1080;Traumatic Memory
1081;Mister Ajikko is so gay
1082;Reversable Couple
1083;oh speaking of
1084;Post-Conan Kudou Shinichi
1085;Unreliable Narrator
1086;for good measure
1087;12 years post canon
1088;Bullying
1089;Saotome Nodoka is Yamcha's (Dragon Ball) younger sister
1090;Aging
1091;growing and learning
1092;Cute
1093;Community: 1sentence
1094;Past Character Death
1095;Adolescent Sexuality
1096;Implied/Referenced Character Death
1097;Starting Over
1098;Character Development
1099;Sushi
1100;Stargazing
1101;Ducks
1102;Shipping
1103;Duck - Freeform
1104;homeward bound
1105;porcupine - Freeform
1106;Risk Aware Consensual Kink
1107;lovemaking
1108;Breastfeeding
1109;Impregnation
1110;Belly Rubs
1111;Simultaneous Orgasm
1112;Adorkable
1113;Prolactin
1114;That's Amore
1115;Supportive circle
1116;Community: crossovers100
1117;The Livejournal exodus
1118;Black Character(s)
1119;Queer Angst
1120;Psychosis
1121;Threesome - F/F/F
1122;Gender Confusion
1123;Male Chauvinism
1124;A weakening agent so strong it brings Ranma to his knees
1125;Vampire falls for a mortal
1126;Illnesses
1127;Pneumonia
1128;ranma finally gets a friend
1129;Mountains
1130;Forced Orgasm
1131;Voodoo
1132;Audio Format: MP3
1133;Yakuza
1134;awkward teens
1135;like geez
1136;poop humor
1137;Ryouga Still Has a Horrible Sense of Direction
1138;Secret World References
1139;the listed pairing is just one facet of the polycule
1140;Lots of Gay Shit Going On Here
1141;Paranormal
1142;Drug Use
1143;Wandering the World Ranma
1144;Brainwashing
1145;Sex Worker
1146;Loss and Grief
1147;Macros
1148;Massive Balls - Freeform
1149;both parties are in denial but for how long
1150;overly precocious children
1151;Mental Instability
1152;Potions
1153;Urination
1154;one bed trope
1155;Boys Being Boys
1156;Hypnosis
1157;Conan typical murders
1158;genderfluid Kaito
1159;and a pinch of some other canon implied romances
1160;Conan can be a bit of a jerk when you look at it from Ran’s perspective
1161;Kasumi just wants to help
1162;unintended innuendo
1163;Adults
1164;Attempted Murder
1165;i just have the pacings of a sloth
1166;Nonbinary Tendou Akane
1167;making the best of a horrible situation
1168;Sensitive Nipples
1169;Ranma switches bodies partway through the sex
1170;Kodachi Eliminates the Competition
1171;Loss
1172;earthquake cw
1173;Fixing the cringy parts of canon
1174;I started writing this fic in 2017 when I was 15 fyi
1175;Burn Notice - Freeform
1176;OT3
1177;Canon - Anime
1178;Sympathetic Kunou Tatewaki
1179;First work here lessgo!!
1180;Oh wait I forgot about Happosai
1181;Platonic Akane & Ranma
1182;Hellfire Club
1183;Sexuality Crisis
1184;Alternate Universe - Historical
1185;Shotacon
1186;Blindfold Sex
1187;Extremely Dubious Consent
1188;Trans Hibiki Ryouga
1189;Crack Treated Extremely Seriously
1190;Metaverse eye thingie (Persona 5)
1191;Time Cop
1192;Nabiki saves the day
1193;POV Alternating
1194;Not Really Sure How Any of this Works TBH
1195;Parenthood
1196;Armchair Therapy
1197;WTF Kombat 2022
1198;so this happened
1199;PSA: The ONLY orifice it’s safe to put fake whipped cream in is your mouth.
1200;Akane Tendo has put up with a lot
1201;Bisexual Male Character
1202;Magic Mirrors
1203;Break The Stoic
1204;Post-High School
1205;Alternative Timeline
1206;sorry ranma im about to put u through an emotional rollercoaster
1207;Ranma is forward and Akane is confused
1208;Misato Runs a Coffee Shop
1209;Covid-19 pandemic
1210;Roasted Sweet Potatoes
